iter	Passed	Remaining
940	7249	454
941	7256	446
942	7262	438
943	7272	431
944	7280	423
945	7286	415
946	7292	408
947	7298	400
948	7307	392
949	7313	384
950	7320	377
951	7326	369
952	7334	361
953	7341	353
954	7349	346
955	7360	338
956	7368	331
957	7374	323
958	7380	315
959	7386	307
960	7395	300
961	7401	292
962	7407	284
963	7413	276
964	7418	269
965	7426	261
966	7432	253
967	7437	245
968	7444	238
969	7449	230
970	7457	222
971	7464	215
972	7470	207
973	7475	199
974	7480	191
975	7489	184
976	7495	176
977	7503	168
978	7510	161
979	7516	153
980	7521	145
981	7531	138
982	7537	130
983	7542	122
984	7551	114
985	7557	107
986	7563	99
987	7570	91
988	7577	84
989	7588	76
990	7601	69
991	7607	61
992	7613	53
993	7618	45
994	7624	38
995	7630	30
996	7639	22
997	7646	15
998	7657	7
999	7665	0
